country,continent,year,lifeexp,pop,gdppercap,iso_alpha
afghanistan,asia,0.0,0.0847457627118644,0.030658854233695968,0.01491213481900327,afg
afghanistan,asia,0.09090909090909091,0.11864406779661017,0.0336480269364152,0.01604856145019125,afg
afghanistan,asia,0.18181818181818182,0.13559322033898305,0.037408856778118,0.01696324629968402,afg
afghanistan,asia,0.2727272727272727,0.1864406779661017,0.042066635240809835,0.016492045013581685,afg
afghanistan,asia,0.36363636363636365,0.22033898305084745,0.04771620137204984,0.013803425910527191,afg
afghanistan,asia,0.45454545454545453,0.2542372881355932,0.05431653289493849,0.015106158877986584,afg
afghanistan,asia,0.5454545454545454,0.2711864406779661,0.04699183731455575,0.020427961638671766,afg
afghanistan,asia,0.6363636363636364,0.288135593220339,0.05060603807967527,0.016935528576972118,afg
afghanistan,asia,0.7272727272727273,0.3050847457627119,0.059585141233600813,0.011308830866456012,afg
afghanistan,asia,0.8181818181818182,0.3050847457627119,0.081243400789049,0.010920782748489384,afg
afghanistan,asia,0.9090909090909091,0.3220338983050847,0.09238861063705331,0.013443095515272466,afg
afghanistan,asia,1.0,0.3389830508474576,0.11665643382040407,0.02031709074782416,afg
albania,europe,0.0,0.3389830508474576,0.004481136750932097,0.03769610288818671,alb
albania,europe,0.09090909090909091,0.6101694915254238,0.0051914418917651875,0.04714784633294528,alb
albania,europe,0.18181818181818182,0.6949152542372882,0.0061136716407854145,0.05740340373634902,alb
albania,europe,0.2727272727272727,0.7288135593220338,0.007051627878698333,0.06982094351128111,alb
albania,europe,0.36363636363636365,0.7457627118644068,0.00807597168820054,0.08514884417096291,alb
albania,europe,0.45454545454545453,0.7627118644067796,0.008975705704565596,0.09124674316758136,alb
albania,europe,0.5454545454545454,0.7966101694915254,0.009969098640448884,0.09393536227063584,alb
albania,europe,0.6363636363636364,0.8305084745762712,0.011051092804246602,0.09692887632352126,alb
albania,europe,0.7272727272727273,0.8135593220338984,0.01197165498103514,0.06253118243805089,alb
albania,europe,0.8181818181818182,0.8305084745762712,0.012343798463245329,0.08182271744553468,alb
albania,europe,0.9090909090909091,0.8813559322033898,0.012638735183625302,0.12093242419202839,alb
albania,europe,1.0,0.8983050847457628,0.012975954938811846,0.15788014856699373,alb
algeria,africa,0.0,0.3389830508474576,0.033789462716619784,0.06120073174787959,dza
algeria,africa,0.09090909090909091,0.3728813559322034,0.0374226848001623,0.07683352735739232,dza
algeria,africa,0.18181818181818182,0.423728813559322,0.040098467538135514,0.0640002217417817,dza
algeria,africa,0.2727272727272727,0.4745762711864407,0.04654721124767282,0.08329175674926548,dza
algeria,africa,0.36363636363636365,0.5254237288135594,0.053878254597517716,0.10923554520760574,dza
algeria,africa,0.45454545454545453,0.5932203389830508,0.06264498234900448,0.1294140473418704,dza
algeria,africa,0.5454545454545454,0.6440677966101694,0.07320364290573046,0.15255834580630856,dza
algeria,africa,0.6363636363636364,0.711864406779661,0.08500933230228258,0.15078441155274683,dza
algeria,africa,0.7272727272727273,0.7457627118644068,0.09616343709052054,0.13254615000831532,dza
algeria,africa,0.8181818181818182,0.7796610169491526,0.10632881814512393,0.12628194467542547,dza
algeria,africa,0.9090909090909091,0.7966101694915254,0.11444724512284508,0.13989134652696936,dza
algeria,africa,1.0,0.8305084745762712,0.12194609388411873,0.1658074172625977,dza
angola,africa,0.0,0.11864406779661017,0.015290662476200582,0.09088641277232662,ago
angola,africa,0.09090909090909091,0.13559322033898305,0.016497420362879916,0.09939575364488054,ago
angola,africa,0.18181818181818182,0.1864406779661017,0.017467375662671675,0.11164698708354122,ago
angola,africa,0.2727272727272727,0.2033898305084746,0.019012002008460645,0.1463772936415544,ago
angola,africa,0.36363636363636365,0.23728813559322035,0.02138467875461557,0.14501912522867122,ago
angola,africa,0.45454545454545453,0.2711864406779661,0.022366226430162995,0.0766949387438328,ago
angola,africa,0.5454545454545454,0.2711864406779661,0.025495064721025484,0.06971007262043351,ago
angola,africa,0.6363636363636364,0.2711864406779661,0.02863906509171763,0.06067409501635346,ago
angola,africa,0.7272727272727273,0.288135593220339,0.03179740291860838,0.06613448639059814,ago
angola,africa,0.8181818181818182,0.288135593220339,0.035971962928483925,0.056433283441432454,ago
angola,africa,0.9090909090909091,0.3050847457627119,0.03960427242854141,0.07018127390653583,ago
angola,africa,1.0,0.3220338983050847,0.04530102902144124,0.12628194467542547,ago
argentina,americas,0.0,0.6610169491525424,0.06529899502311785,0.15715948777648428,arg
argentina,americas,0.09090909090909091,0.6949152542372882,0.07165256250565577,0.18335273573923166,arg
argentina,americas,0.18181818181818182,0.711864406779661,0.07778499525029615,0.1910305449304285,arg
argentina,americas,0.2727272727272727,0.711864406779661,0.0838338551386746,0.21650313210266645,arg
argentina,americas,0.36363636363636365,0.7457627118644068,0.09059787261983063,0.2550584843949221,arg
argentina,americas,0.45454545454545453,0.7627118644067796,0.09867562549507425,0.2726869560396918,arg
argentina,americas,0.5454545454545454,0.7796610169491526,0.10731601724128952,0.24269638006541383,arg
